ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x16a0,CUS_0x6c66,March,Sinead Carews,39,328-33-6328,Manager,8701.545_,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,,8.86,6.0,Standard,2602.69,36.47591386327275,9 Years and 1 Months,NM,36.54819717138717,45.6509755447516,Low_spent_Large_value_payments,239.71370228386124,Poor
0x16a1,CUS_0x6c66,April,Sinead Carews,39,328-33-6328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",22,7,8.86,6.0,Standard,2602.69,32.09749227865355,9 Years and 2 Months,Yes,36.54819717138717,20.390183876957128,Low_spent_Small_value_payments,284.9744939516557,Poor
0x16a2,CUS_0x6c66,May,Sinead Carews,39,328-33-6328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",22,9,8.86,6.0,Standard,2602.69,37.16937449181635,9 Years and 3 Months,Yes,36.54819717138717,50.486952198712274,Low_spent_Small_value_payments,254.87772562990054,Poor
0x16a3,CUS_0x6c66,June,,39,328-33-6328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,6,_,6.0,Standard,2602.69,28.570031407996353,9 Years and 4 Months,Yes,36.54819717138717,52.931613407134115,Low_spent_Medium_value_payments,242.43306442147872,Poor
0x16a4,CUS_0x6c66,July,,39,328-33-6328,Manager,8701.545,,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",21,9,_,9.0,Standard,2602.69,38.46541540543407,,Yes,36.54819717138717,30.471806299271933,Low_spent_Medium_value_payments,264.8928715293409,Poor
0x16a5,CUS_0x6c66,August,Sinead Carews,39,328-33-6328,Manager,8701.545_,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,9.0,Standard,2602.69,28.815537059010616,9 Years and 6 Months,NM,36.54819717138717,,Low_spent_Small_value_payments,264.7720511316515,Poor
0x16c6,CUS_0x6070,May,Parkm,20,#F%$D@*&8,Accountant,92047.08,7591.59,6,7,16,0,,16,8,9.13,4.0,Standard,1296.64,34.3576502428514,29 Years and 6 Months,NM,0.0,78.71934549426288,High_spent_Large_value_payments,920.4396545057373,Poor
0x16c7,CUS_0x6070,June,Parkm,20,891-55-9364,Accountant,92047.08,7591.59,6,7,16,0,,16,13,13.13,4.0,Standard,1296.64,28.776937743887977,,Yes,0.0,266.5850272142179,Low_spent_Small_value_payments,782.5739727857823,Poor
0x16c8,CUS_0x6070,July,,20,891-55-9364,Accountant,92047.08,7591.59,6,7,16,0,,16,10,9.13,4.0,_,1296.64,40.75852163733138,29 Years and 8 Months,Yes,0.0,59.28557022863863,High_spent_Large_value_payments,939.8734297713614,Poor
0x16c9,CUS_0x6070,August,Parkm,20,891-55-9364,Accountant,92047.08,7591.59,6,7,16,0,,16,11,9.13,4.0,Standard,1296.64,27.727646781775498,29 Years and 9 Months,Yes,0.0,268.0846032992916,Low_spent_Large_value_payments,761.0743967007086,Poor
0x16dd,CUS_0x3553,April,Laurence Frosty,26,084-25-3745,Musician,97791.42,,6,6,12,0,,19,8,15.920000000000002,1.0,Standard,107.41,26.51363149248924,27 Years and 5 Months,Yes,629.8156531464217,499.24501998175833,Low_spent_Medium_value_payments,588.6834800182418,Good
0x16e6,CUS_0x4100,January,Reema,31,068-83-4394,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",52,,9.95,7.0,Bad,2430.21,29.934185732751413,18 Years and 2 Months,Yes,49.57206224445275,79.17641583265376,Low_spent_Small_value_payments,312.48768858956015,Poor
0x16e7,CUS_0x4100,February,Reema,31,068-83-4394,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,18,9.95,7.0,Bad,2430.21,36.6412035787929,18 Years and 3 Months,NM,49.57206224445275,55.29821298839304,High_spent_Small_value_payments,306.3658914338209,Poor
0x16e8,CUS_0x4100,March,Reema,31,068-83-4394,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",48,19,15.95,7.0,_,2430.21,37.62486247304565,,Yes,49.57206224445275,140.81859591726788,Low_spent_Large_value_payments,230.84550850494603,Poor
0x16ea,CUS_0x4100,May,Reema,32,068-83-4394,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,19,9.95,7.0,Bad,2430.21,28.05884596384257,,Yes,49.57206224445275,173.0425507765921,Low_spent_Small_value_payments,218.62155364562184,Poor
0x16eb,CUS_0x4100,June,Reema,32,#F%$D@*&8,_______,19300.34,1512.361666666667,6,1029,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,17,9.95,8.0,Bad,2430.21,25.84779062032988,18 Years and 7 Months,Yes,49.57206224445275,83.44744882880191,Low_spent_Large_value_payments,288.21665559341204,Poor
0x16ec,CUS_0x4100,July,Reema,32,068-83-4394,Entrepreneur,19300.34,,6,7,17,5_,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,19,8.95,8.0,_,2430.21,25.84314493873217,18 Years and 8 Months,Yes,56566.0,120.9754898578697,Low_spent_Large_value_payments,250.68861456434425,Poor
0x16f5,CUS_0x132f,April,,41,561-60-9294,Musician,19514.88,1828.24,7,488,17,0,,30,12,4.17,2.0,Standard,881.4,34.503707241298585,19 Years and 6 Months,No,0.0,45.388820313894996,High_spent_Medium_value_payments,387.43517968610496,Poor
0x16f6,CUS_0x132f,May,Mark Felsenthald,41,561-60-9294,Musician,19514.88,,7,5,17,0,,30,,4.17,2.0,Standard,881.4,41.17638419789344,19 Years and 7 Months,No,0.0,168.34146287619103,Low_spent_Small_value_payments,304.48253712380904,Poor
0x16f7,CUS_0x132f,June,Mark Felsenthald,41,#F%$D@*&8,_______,19514.88,,7,5,17,0,,30,12,4.17,2.0,Standard,881.4,38.78807246113495,19 Years and 8 Months,No,0.0,151.3776397937309,Low_spent_Small_value_payments,321.4463602062691,Poor
0x16f8,CUS_0x132f,July,Mark Felsenthald,41,561-60-9294,Musician,19514.88,1828.24,7,5,17,0,,30,15,4.17,2.0,Standard,881.4,27.182482771287628,19 Years and 9 Months,No,0.0,184.63115997411617,Low_spent_Medium_value_payments,278.1928400258838,Poor
0x16f9,CUS_0x132f,August,Mark Felsenthald,41,561-60-9294,Musician,19514.88,,7,5,5240,0,,26,11,4.17,4.0,_,881.4,28.781887776659712,19 Years and 10 Months,No,0.0,99.1415414879628,High_spent_Small_value_payments,343.6824585120372,Poor
0x16ff,CUS_0xa16e,February,Lee Chyenz,41,905-50-7912,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,18,7.97,6.0,Bad,1672.43,32.38559762083814,10 Years and 2 Months,NM,37.58807283812568,92.36195001929579,Low_spent_Small_value_payments,267.5084354759118,Poor
0x1700,CUS_0xa16e,March,Lee Chyenz,41,905-50-7912,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,23,7.97,6.0,Bad,1672.43,23.731347914755407,10 Years and 3 Months,Yes,37.58807283812568,91.88397193610828,Low_spent_Small_value_payments,267.9864135590994,Poor
0x1702,CUS_0xa16e,May,Lee Chyenz,41,905-50-7912,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",51,,7.97,6.0,Bad,1672.43,32.29348991062007,10 Years and 5 Months,Yes,37.58807283812568,65.83126164076859,!@9#%8,294.03912385443914,Poor
0x1703,CUS_0xa16e,June,Lee Chyenz,42,905-50-7912,_______,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,24,10.97,1050.0,Bad,1672.43,25.105402554318484,10 Years and 6 Months,Yes,37.58807283812568,73.89986104079846,Low_spent_Small_value_payments,285.9705244544092,Poor
0x1704,CUS_0xa16e,July,Lee Chyenz,42,905-50-7912,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",52,21,7.97,6.0,_,1672.43,24.713823993258373,10 Years and 7 Months,Yes,37.58807283812568,61.863727578026115,Low_spent_Small_value_payments,298.00665791718154,Poor
0x1705,CUS_0xa16e,August,Lee Chyenz,42,905-50-7912,Media_Manager,10183.015_,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,21,7.97,6.0,Bad,1672.43,36.83702882243363,10 Years and 8 Months,Yes,37.58807283812568,71.12274735436063,Low_spent_Small_value_payments,288.747638140847,Poor
0x170d,CUS_0xac86,April,Nickb,20,028-16-4402,Entrepreneur,106733.13,,4,4,1,0,,5,7,-4.14,0.0,Good,76.23,25.84254793986021,33 Years and 0 Months,No,0.0,644.2873937406405,Low_spent_Large_value_payments,513.0553562593595,Good
0x170e,CUS_0xac86,May,Nickb,20,028-16-4402,Entrepreneur,106733.13_,8873.4275,4,4,1,-100,,5,6,0.86,0.0,Good,76.23,28.8205537792444,33 Years and 1 Months,No,0.0,345.60913541068396,High_spent_Medium_value_payments,791.733614589316,Good
0x171a,CUS_0x5b48,May,McBrideq,32,706-95-0150,Lawyer,12600.445_,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",20,19,15.79,7.0,Standard,569.8,37.24021434251173,12 Years and 7 Months,Yes,26.060347529205966,41.0826367012432,Low_spent_Small_value_payments,301.0607241028842,Poor
0x171b,CUS_0x5b48,June,McBrideq,32,706-95-0150,Lawyer,12600.445,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,19,15.79,7.0,Standard,569.8,36.52748004014412,12 Years and 8 Months,Yes,26.060347529205966,48.00806665619237,Low_spent_Small_value_payments,294.135294147935,Poor
0x171c,CUS_0x5b48,July,McBrideq,32,706-95-0150,Lawyer,12600.445,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,20,21.79,7.0,Standard,569.8,34.125305925956305,,Yes,26.060347529205966,56.908895859705574,Low_spent_Medium_value_payments,275.2344649444218,Poor
0x171d,CUS_0x5b48,August,,32,706-95-0150,Lawyer,12600.445,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,19,15.79,11.0,Standard,569.8,31.978873515820705,12 Years and 10 Months,Yes,26.060347529205966,66.37358000122424,Low_spent_Small_value_payments,275.76978080290314,Poor
0x1722,CUS_0xa5f9,January,Rickt,34,189-09-5267,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",47,19,7.27,12.0,Bad,3532.83,32.321769461626175,,Yes,200.43261339470683,265.70621194860047,Low_spent_Small_value_payments,295.95384132335937,Poor
0x1724,CUS_0xa5f9,March,Rickt,34,189-09-5267,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,,7.27,17.0,Bad,3532.83,37.81024308787287,12 Years and 4 Months,Yes,200.43261339470683,534.3581783879267,Low_spent_Small_value_payments,27.301874884033168,Poor
0x1725,CUS_0xa5f9,April,Rickt,34,189-09-5267,Mechanic,57983.12,,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,22,7.27,17.0,_,3532.83,32.56739683731984,12 Years and 5 Months,Yes,200.43261339470683,197.64049552810002,High_spent_Medium_value_payments,324.0195577438599,Poor
0x1726,CUS_0xa5f9,May,Rickt,34,#F%$D@*&8,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,21,10.27,17.0,Bad,3532.83,37.28428974024728,12 Years and 6 Months,Yes,200.43261339470683,205.25015227427863,Low_spent_Small_value_payments,356.4099009976813,Poor
0x173a,CUS_0xb95f,January,Ashleyk,30,467-13-1148,Writer,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,10,17.96,9.0,Standard,2686.81,39.28029558815228,13 Years and 8 Months,NM,185.1119825795006,248.06995733765262,Low_spent_Large_value_payments,106.56906008284685,Poor
0x173d,CUS_0xb95f,April,Ashleyk,30,467-13-1148,Writer,34290.12,,9,8,25,-100,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,7,13.96,9.0,Standard,2686.81,36.16398913486826,13 Years and 11 Months,NM,185.1119825795006,99.47477403683122,Low_spent_Large_value_payments,255.16424338366826,Poor
0x173e,CUS_0xb95f,May,Ashleyk,30,467-13-1148,_______,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,12,13.96,9.0,_,2686.81,33.841866041473175,14 Years and 0 Months,Yes,185.1119825795006,330.071842181316,Low_spent_Small_value_payments,44.56717523918351,Poor
0x173f,CUS_0xb95f,June,Ashleyk,30,467-13-1148,Writer,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,12,13.96,9.0,_,2686.81,24.222554856393263,14 Years and 1 Months,Yes,185.1119825795006,108.94691107774382,High_spent_Medium_value_payments,225.6921063427557,Poor
0x175e,CUS_0xb681,January,Sarahb,37,904-88-7361,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,13,1.54,6.0,_,2258.73,34.12570493442336,,Yes,172.38252735862687,246.91502516402176,Low_spent_Large_value_payments,151.44861414401805,Poor
0x175f,CUS_0xb681,February,Sarahb,37,904-88-7361,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,16,1.54,8.0,_,2258.73,33.414598040847395,8 Years and 9 Months,NM,172.38252735862687,236.0775818986983,Low_spent_Large_value_payments,162.28605740934154,Poor
0x1760,CUS_0xb681,March,Sarahb,37,904-88-7361,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,15,1.54,568.0,Bad,2258.73,27.572862899949165,8 Years and 10 Months,Yes,172.38252735862687,198.0421234022212,High_spent_Small_value_payments,190.3215159058186,Poor
0x1761,CUS_0xb681,April,Sarahb,37,904-88-7361,Manager,39641.54_,3007.461666666666,10,8,25,-100,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,16,1.54,8.0,Bad,2258.73,32.4134467979176,8 Years and 11 Months,Yes,172.38252735862687,254.0211199377709,Low_spent_Small_value_payments,164.3425193702689,Poor
0x1763,CUS_0xb681,June,,37,904-88-7361,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,16,1.54,8.0,Bad,2258.73,27.91283759274986,9 Years and 1 Months,Yes,172.38252735862687,122.14845102419844,Low_spent_Small_value_payments,296.21518828384137,Poor
0x1764,CUS_0xb681,July,Sarahb,37,904-88-7361,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,14,1.54,8.0,Bad,2258.73,23.196508529545326,,Yes,172.38252735862687,160.67254450139754,Low_spent_Large_value_payments,237.6910948066423,Poor
0x1765,CUS_0xb681,August,Sarahb,38,904-88-7361,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,13,-2.46,8.0,Bad,2258.73,34.84904970443735,9 Years and 3 Months,Yes,172.38252735862687,149.26780615872963,Low_spent_Large_value_payments,249.09583314931018,Poor
0x176c,CUS_0x9a71,March,Mukhopadhyayc,55,889-07-2357,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",4,3,6.83,4.0,Good,413.32,31.861736271923107,18 Years and 5 Months,No,29.534583720496048,26.290476621438273,High_spent_Medium_value_payments,362.591772991399,Good
0x176d,CUS_0x9a71,April,,5079,889-07-2357,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",5,6,_,4.0,Good,413.32,22.74358210427965,18 Years and 6 Months,No,29.534583720496048,104.72383354456407,High_spent_Small_value_payments,294.1584160682732,Good
0x1776,CUS_0x6048,January,Ayeshaz,43,425-47-6723,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,21,_,7.0,Bad,1793.54,38.9796611529839,18 Years and 9 Months,NM,65.13948777561222,48.43998334767114,High_spent_Medium_value_payments,275.15086221005004,Poor
0x1777,CUS_0x6048,February,Ayeshaz,43,425-47-6723,Musician,18627.64,,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,21,5.07,7.0,Bad,1793.54,35.030349081579885,18 Years and 10 Months,Yes,65.13948777561222,53.83325980744012,Low_spent_Medium_value_payments,299.757585750281,Poor
